ID_star,ID_system,Name,GJ,Karmn,RA_J2016,DE_J2016,SpT,SpTnum,SpT_ref,Type,Class,Component,System,SB,SB_ref,Discoverer,Group,Group_ref,Nplanet,Planet_ref,Category,Remarks,WDS_id,WDS_comp,WDS_obs1,WDS_obs2,WDS_nobs,WDS_pa2,WDS_sep2,WDS_mag1,WDS_mag2,s01,rho01,theta01,s01_ref,s02,rho02,theta02,muratio,deltaPA,deltad,M_Msol,eM_Msol,R_Rsol,eR_Rsol,MR_ref,L_Lsol,eL_Lsol,L_ref,MG_mag,eMG_mag,Teff_K,eTeff_K,Teff_ref,logg,elogg,Fe_H,Fe_H_ref,q,P01,eP01,P01_ref,P02,eP02,Ug_J,eUg_J,crit_ruwe,crit_ipd_ruwe,crit_rv,crit_rv_error,crit_ipd_fmp,crit_dupl_source,crit_non_single,crit_DR3_non_single,Candidate,GaiaDR3_id,2MASS_id,AllWISE_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_ref,pmra,pmra_error,pmdec,pmdec_error,pm_ref,rv,rv_error,rv_ref,ruwe,astrometric_excess_noise,astrometric_excess_noise_sig,phot_bp_rp_excess_factor,phot_bp_n_blended_transits,phot_rp_n_blended_transits,phot_variable_flag,rv_chisq_pvalue,rv_amplitude_robust,rv_nb_transits,rv_renormalised_gof,astrometric_n_obs_al,astrometric_n_good_obs_al,ipd_gof_harmonic_amplitude,ipd_frac_multi_peak,duplicated_source,BP_mag,eBP_mag,G_mag,eG_mag,RP_mag,eRP_mag,J_mag,eJ_mag,H_mag,eH_mag,Ks_mag,eKs_mag,Qf_2M,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,Qf_W
1644,451,HD 124498A,,,14:14:21.24,-15:21:24.8,K7 V,67.0,This work,Multiple,Quadruple,AB,(AB)+C+D,,,CVN 25,beta Pic,Jan17,0,,2,WDS tabulates the SB2 (Jef18),14144-1521,Aa Ab,2006,2020,6,208.40,0.306,10.39,,8.8704,0.306,208.40,,,,,,,,,,,,n/a,,,n/a,7.4210,0.0248,,,n/a,,,,n/a,,,,,,,,,true,false,false,false,true,false,0,,false,6298167775459045632,14142141-1521215,J141421.31-152123.6,213.58848617834600,0.3459842801094060,-15.356876138958800,0.24120131134986900,34.496737270827600,0.38975552,DR3,-124.49617545574000,0.3766543,-168.1229351323570,0.2823214,DR3,1.6457634,1.8452436,DR3,16.356575,2.397554636001590,4279.56396484375,1.3937426,9,9,NOT_AVAILABLE,,,4,,167,167,0.08356314152479170,47,false,10.4882,0.0107,9.7321,0.0038,8.7581,0.0195,7.430,0.023,6.781,0.023,6.601,0.023,AAA,6.476,0.069,6.334,0.023,6.329,0.016,6.169,0.049,AAAA
1645,451,HD 124498B,,,14:14:21.34,-15:21:24.4,M2.0 V,72.0,This work,Multiple,Quadruple,C,,,,RST3869,beta Pic,See primary,0,,2,,14144-1521,AB,1937,2020,9,82.50,1.603,10.39,13.4,48.7512,1.5530,78.39,,,,,0.1754,9.1298,0.0765,0.4712,0.0301,0.4586,0.0138,This work,,,n/a,9.1825,0.0263,,,n/a,,,,n/a,0.6432,,,,310.2,5.1,1.249E+37,9.095E+35,true,false,false,false,false,false,0,,false,6298167775458242048,,,213.58892439702400,0.34568917751312300,-15.356789329960100,0.4289645552635190,31.856192902751100,0.38182244,DR3,-105.46762490869400,0.42966056,-203.55094764791100,0.46553257,DR3,-2.7548687,2.9748437,DR3,6.3525248,1.3183614015579200,1318.52880859375,1.771516,0,1,NOT_AVAILABLE,,,4,,104,104,0.021475672721862800,30,false,12.6421,0.1183,11.6665,0.0035,10.3042,0.0376,,,,,,,,,,,,,,,,
1646,451,GJ 3832,3832,J14142-153,14:14:16.87,-15:21:15.9,M3.5 V,73.5,Rei95,Multiple+,Quadruple,D,,,,LDS 483,beta Pic/AB Dor,Cor24,0,,2,,14144-1521,AC,1920,2020,7,277.30,63.6,10.39,13.77,1829.2018,63.7427,277.96,,,,,0.1278,5.1867,0.0102,0.3967,0.0167,0.3988,0.0125,This work,0.0150213409,0.0000891416,This work,10.3503,0.0040,3200,50,This work,5.50,0.25,,n/a,0.5415,,,,73620,996,2.803E+35,1.533E+34,false,false,true,false,false,false,0,,true,6298167942962279680,14141700-1521125,J141416.91-152114.8,213.5703012153190,0.033038608729839300,-15.354424665434700,0.027193011716008200,34.847262514471400,0.038277026,DR3,-120.12639591574200,0.0404059,-197.31305204030400,0.033293504,DR3,-1.4254652,3.6015363,DR3,1.741758,0.24406620860099800,48.979820251464800,1.4849025,0,0,NOT_AVAILABLE,0.0,35.68392,14,11.239805,183,182,0.029008986428380000,14,false,14.1877,0.0086,12.6395,0.0032,11.4064,0.0054,9.687,0.024,9.105,0.023,8.825,0.019,AAA,8.680,0.022,8.495,0.020,8.370,0.022,8.408,0.245,AAAB
1647,0,GJ 3834,3834,J14144+234,14:14:26.33,+23:27:26.4,M3.5 V,73.5,Rei95,Single,,-,,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,0.3877,0.0161,0.3902,0.0119,This work,0.0162694100,0.0000777117,This work,10.1603,0.0032,3300,50,This work,5.00,0.25,,n/a,,,,,,,,,false,false,false,false,false,false,0,,false,1254117329307682432,14142656+2327340,J141426.40+232728.8,213.60969166785300,0.018750937655568100,23.457334101549000,0.0175864826887846,37.23878272364220,0.026914898,DR3,-186.94755980265400,0.024472162,-455.11868704210700,0.022500046,DR3,-23.191027,0.52579147,DR3,1.6504124,0.22705917060375200,71.822998046875,1.4403373,2,0,NOT_AVAILABLE,0.08422961,7.2402782,20,0.9407288,393,393,0.006314190104603770,0,false,13.7593,0.0034,12.3053,0.0028,11.1233,0.0039,9.516,0.020,8.915,0.024,8.628,0.016,AAA,8.451,0.023,8.345,0.020,8.214,0.021,7.999,0.161,AAAB
1648,0,Ross 992,3836,J14152+450,14:15:15.96,+45:00:49.7,M3.0 V,73.0,Rei95,Single,,-,,,,,,,0,,2,,,,,,,,,,,,,,,,,,,,,0.4253,0.0114,0.4258,0.0042,This work,0.0253742640,0.0000905187,This work,9.5832,0.0029,3516,16,Marf21,5.00,0.25,-0.04,Marf21,,,,,,,,,false,false,false,false,false,false,0,,false,1505105593069066880,14151707+4500536,J141516.30+450050.8,213.8165096784810,0.012804905883967900,45.01380459038880,0.014672446995973600,58.94725713855680,0.0172167,DR3,-674.4431170289620,0.015868552,-224.13698768058400,0.019189032,DR3,13.9339485,0.19605802,DR3,1.266292,0.1657332181930540,42.245086669921900,1.4266831,1,0,VARIABLE,0.42350248,2.9032078,30,-3.998837,470,466,0.004064030013978480,0,false,12.0707,0.0033,10.7309,0.0028,9.5795,0.0038,8.014,0.018,7.474,0.018,7.227,0.017,AAA,7.014,0.045,6.951,0.021,6.894,0.016,6.801,0.065,AAAA
1649,0,LP 439-350,,J14153+153,14:15:20.63,+15:23:01.5,M2.0 V,72.0,Lep13,Single,,-,,,,,UMa,Cor24,0,,3,,,,,,,,,,,,,,,,,,,,,0.4656,0.0178,0.4640,0.0133,This work,0.0291053336,0.0001873748,This work,9.3027,0.0032,3500,50,This work,5.50,0.25,,n/a,,,,,,,,,false,false,false,false,false,false,0,,false,1231853730673656960,14152047+1523035,J141520.57+152302.1,213.83595129792400,0.0223687794059515,15.383753153741100,0.019744543358683600,42.687666501646,0.028379403,DR3,137.68590034016200,0.02741759,-126.27050548421600,0.024160527,DR3,10.35304,0.20913374,DR3,1.3557991,0.20272420346736900,67.09197998046880,1.3862716,49,49,VARIABLE,0.39860925,2.7675076,28,-0.9573249,398,391,0.014578835107386100,0,false,12.3454,0.0032,11.1512,0.0028,10.0649,0.0038,8.654,0.039,8.033,0.034,7.838,0.024,AAA,7.653,0.027,7.583,0.020,7.497,0.017,7.483,0.110,AAAB
1650,452,GJ 1182,1182,J14155+046,14:15:31.75,+04:39:19.1,M5.0 V,75.0,Rei95,Multiple,Double,Aab,Aab,SB2,Bar18,Bar18,,,0,,1,,,,,,,,,,,0.35835,,,Bar18,,,,,,,0.2581,0.0017,,,Bar18,,,n/a,11.9421,0.0115,,,n/a,,,-0.36,Bir20,0.6648,154.20,0.10,Bar18,,,,,true,false,true,false,false,false,0,,false,3668176368871118208,14153253+0439312,J141532.01+043923.3,213.88230240079200,0.35492128133773800,4.655318867383000,0.27295300364494300,72.00423705033550,0.36732212,DR3,-744.4391061212710,0.4799294,-769.5444674061890,0.33569017,DR3,1.3901013,2.6713426,DR3,13.1520195,2.8925201892852800,8387.6533203125,1.5340009,0,1,NOT_AVAILABLE,0.0,24.207989,13,7.217378,204,204,0.01903950609266760,1,false,14.6042,0.0041,12.6553,0.0029,11.3400,0.0041,9.433,0.026,8.936,0.022,8.618,0.025,AAA,8.426,0.023,8.199,0.020,8.048,0.020,7.893,0.152,AAAB
1651,453,LP 97-674 A,,J14157+594,14:15:42.13,+59:27:29.1,M2.0 V,72.0,Lep13,Multiple,Double,A,A+B,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,0.4908,0.0182,0.4879,0.0136,This work,0.0360196941,0.0001681813,This work,9.0076,0.0029,3600,50,This work,5.50,0.25,-0.36,Fou18,,,,,,,,,false,false,false,false,false,false,0,,false,1660170581217926272,14154249+5927303,J141542.06+592728.2,213.9255228887440,0.014950703829526900,59.45807491513620,0.014203309081494800,35.18827789292440,0.014949211,DR3,-169.84136049903900,0.020859784,-71.81081652382310,0.019447224,DR3,-15.773511,0.27596572,DR3,0.9989252,0.1358553171157840,24.266036987304700,1.3571538,0,0,NOT_AVAILABLE,0.63596964,4.1441603,23,-1.1766335,337,334,0.005800104700028900,0,false,12.3402,0.0029,11.2756,0.0028,10.2474,0.0038,8.850,0.024,8.182,0.029,8.015,0.023,AAA,7.213,0.032,7.240,0.020,7.272,0.016,7.169,0.067,AAAA
1652,453,LP 97-674 B,,,14:15:41.61,+59:27:25.9,M3.0 V,73.0,Ste86b,Multiple,Double,B,,,,LDS2707,,,0,,2,,14157+5928,,1966,2016,10,51.10,5.062,13.6,13.8,143.6609,5.0614,231.10,,,,,0.0950,5.3135,0.0012,0.4127,0.0313,0.4059,0.0141,This work,,,n/a,9.6561,0.0030,,,n/a,,,,n/a,0.8409,,,,1812,36,2.487E+36,2.100E+35,false,false,false,false,false,false,0,,false,1660170581217926144,14154197+5927274,,213.9233696266970,0.014745302498340600,59.45719209977010,0.014524632133543500,35.23185889719930,0.015724,DR3,-166.71478747858200,0.020260887,-89.5141700216417,0.019401645,DR3,-15.991125,0.47201782,DR3,1.2538235,0.1464291214942930,28.32013702392580,1.3905183,5,0,NOT_AVAILABLE,0.035336014,7.0137663,19,1.4111495,342,340,0.0037289580795913900,0,false,13.1090,0.0030,11.9214,0.0028,10.8325,0.0038,9.101,0.032,8.547,0.046,8.317,0.031,AAA,,,,,,,,,
1653,0,G 165-58,,J14159+362,14:15:56.39,+36:16:42.2,M3.5 V,73.5,Lep13,Single,,-,,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,0.2480,0.0120,0.2578,0.0078,This work,0.0071032946,0.0000260806,This work,11.0260,0.0029,3300,50,This work,5.50,0.25,,n/a,,,,,,,,,false,false,false,false,false,false,0,,false,1483977656798789120,14155637+3616368,J141556.38+361640.5,213.98497602510400,0.013967787846922900,36.27839269007430,0.01880107820034030,73.45920425880920,0.026012607,DR3,13.710720992007700,0.015486304,303.03924366005700,0.023491992,DR3,-16.43042,0.22935519,DR3,1.4942565,0.24282649159431500,118.8648910522460,1.439308,0,0,VARIABLE,0.9746439,5.4176264,42,-3.1394746,669,666,0.008723444305360320,0,false,13.1248,0.0030,11.6958,0.0028,10.5185,0.0038,8.940,0.018,8.366,0.021,8.098,0.017,AAA,7.939,0.023,7.773,0.020,7.663,0.017,7.526,0.101,AAAA
1654,0,LP 81-30,,J14161+233,14:16:11.25,+23:23:26.5,M1.0 V,71.0,Lep13,Single,,-,,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,0.5094,0.0291,0.4930,0.0131,This work,0.0387934893,0.0001770941,This work,8.8928,0.0031,3600,50,This work,5.50,0.25,-0.19,Gai14b,,,,,,,,,false,false,false,false,false,false,0,,false,1253928453825900032,14161138+2323297,J141611.28+232327.3,214.04685973033100,0.01506239827722310,23.390690510758300,0.017072565853595700,36.5715230034765,0.024136024,DR3,-110.24636182466300,0.019843485,-170.45884874363900,0.02125134,DR3,-40.25553,0.3382116,DR3,1.3012522,0.1691596806049350,45.58175277709960,1.3542134,36,37,NOT_AVAILABLE,0.17747582,5.059086,17,-0.054528937,339,335,0.0080717196688056,1,false,12.1409,0.0030,11.0771,0.0028,10.0520,0.0038,8.713,0.020,8.167,0.027,7.928,0.024,AAA,7.763,0.028,7.721,0.019,7.622,0.018,7.534,0.120,AAAB
1655,0,GJ 3838,3838,J14170+105,14:17:04.56,+10:35:34.3,M1.5 V,71.5,Rei95,Single,,-,,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,0.4874,0.0296,0.4732,0.0133,This work,0.0359451175,0.0002811165,This work,9.0582,0.0029,3500,50,This work,5.50,0.25,0.16,Kuz19,,,,,,,,,false,false,false,false,false,false,0,,false,1225145747671533056,14170487+1035359,J141704.65+103534.8,214.2689796315020,0.016281208023428900,10.592867279002400,0.01657872460782530,49.525932964712400,0.01981648,DR3,-282.4014375057090,0.024909444,-106.07878881752000,0.022056526,DR3,2.7726474,0.23609665,DR3,1.2421132,0.13674159348011000,21.428171157836900,1.3790998,0,0,NOT_AVAILABLE,0.029289242,2.5481937,18,0.17242871,304,303,0.022541020065546000,1,false,11.7513,0.0030,10.5840,0.0028,9.5103,0.0038,8.185,0.041,7.533,0.063,7.279,0.034,AAA,7.056,0.043,7.049,0.020,6.987,0.015,6.920,0.077,AAAA
1656,454,GJ 3839,3839,J14170+317,14:17:02.14,+31:42:44.7,M4.0 V,74.0,Rei95,Multiple,Double,AB,(AB),,,Del99b/DEL 5,,,0,,2,WDS tabulates the SB2/ST3 (Del99b/Rein12/Fou18),14170+3143,,2005,2016,5,157.50,0.247,13.1,13.4,4.1167,0.247,157.50,,,,,,,,,,,,n/a,,,n/a,10.8808,0.0809,,,n/a,,,,n/a,,,,n/a,,,,,false,false,false,false,true,false,0,,false,1477446592088319872,14170294+3142472,J141702.38+314245.4,214.2589179789400,2.9307987689971900,31.712410442146500,3.736628293991090,60.0,2.2,Dit14,-589.0,8.0,-143.0,8.0,Zac12,-27.37,0.7,Sch19,,39.37995147705080,2009371.375,2.1688278,0,0,VARIABLE,,,,,336,336,0.1920640468597410,55,false,13.3654,0.0033,11.9900,0.0141,10.3174,0.0039,8.443,0.026,7.888,0.026,7.609,0.026,AAA,7.388,0.031,7.247,0.020,7.122,0.016,7.051,0.097,AAAA
1657,455,PM J14171+0851,,J14171+088,14:17:07.18,+08:51:37.1,M4.5 V,74.5,Alo15a,Multiple,Double,Aab,Aab,SB2,Jef18,Jef18,,,0,,1,,,,,,,,,,,,,,n/a,,,,,,,,,,,n/a,,,n/a,11.2466,0.2523,,,n/a,,,0.25,Ter15a,,,,n/a,,,,,false,false,false,false,true,false,0,,false,3674840646286101888,14170731+0851363,J141707.22+085136.8,214.27990542770700,3.625445604324340,8.860295831079690,3.4460716247558600,54.3,6.3,Fin18,-137.4,12.2,24.4,7.7,Zac12,-11.402,3.358,Ter15a,,34.37384033203130,883942.625,1.9890285,14,0,VARIABLE,,,,,291,291,0.2664571702480320,62,false,14.1356,0.0033,12.5726,0.0126,10.9846,0.0039,9.109,0.022,8.501,0.042,8.198,0.023,AAA,7.974,0.023,7.810,0.020,7.660,0.018,7.513,0.126,AAAB
1658,456,GJ 541.2,541.2,J14174+454,14:17:24.45,+45:26:39.8,M0.0 V,70.0,Lep13,Multiple,Double,A,A+B,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,0.6247,0.0270,0.5958,0.0121,This work,0.0711761862,0.0002581556,This work,8.0932,0.0029,3800,50,This work,5.50,0.25,0.36,Fou18,,,,,,,,,false,false,false,false,false,false,0,,false,1505214930047542784,14172437+4526401,J141724.42+452639.9,214.35186828824200,0.009257890284061430,45.44439491661950,0.010578830726444700,51.45781615623220,0.013123105,DR3,43.83856544816850,0.011977943,-18.274121128884700,0.014187843,DR3,3.035346,0.1646265,DR3,1.0249636,0.07944128662347790,8.34365177154541,1.3158768,0,0,NOT_AVAILABLE,0.005278104,1.9574652,26,0.96034443,411,406,0.014699896797537800,0,false,10.4492,0.0029,9.5359,0.0028,8.5930,0.0038,7.389,0.020,6.781,0.021,6.601,0.016,AAA,6.482,0.079,6.393,0.024,6.428,0.015,6.386,0.050,AAAA
1659,456,RX J1417.3+4525,,J14173+454,14:17:22.17,+45:25:45.7,M5.0 V,75.0,Schw19,Multiple+,Double,B,,,,VVO 12,,,0,,1,,14174+4527,,1950,2016,15,203.80,59.248,10.41,14.21,1124.3295,59.2025,203.91,,,,,0.0224,1.1970,0.0233,0.2727,0.0101,0.2812,0.0043,This work,0.0076760570,0.0000577105,This work,11.2089,0.0057,3222,24,Marf21,5.50,0.25,-0.51,Marf21,0.4365,,,,39797,639,2.673E+35,1.521E+34,true,false,false,false,false,false,0,,true,1505209054532280960,14172209+4525461,J141722.15+452545.8,214.34237220584700,0.08850862085819240,45.42936021377160,0.09709277004003530,52.6558204060547,0.11965087,DR3,43.8128803260905,0.113742985,-19.347369529691300,0.1275882,DR3,4.1521244,1.0045565,DR3,6.583102,1.2938666343689000,2293.00537109375,1.5103307,1,0,NOT_AVAILABLE,1.2394974E-11,27.779457,34,2.2038786,422,422,0.014809224754571900,0,false,14.3815,0.0033,12.6017,0.0028,11.3207,0.0038,9.467,0.019,8.922,0.016,8.672,0.018,AAA,8.459,0.021,8.269,0.020,8.124,0.020,7.902,0.168,AAAB
1660,0,RX J1417.5+0233,,J14175+025,14:17:30.18,+02:33:42.5,M3.0 V,73.0,Alo15a,Candidate,,-,,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,0.4767,0.0185,0.4745,0.0141,This work,0.0271079093,0.0002020399,This work,9.5275,0.0039,3400,50,This work,4.50,0.25,,n/a,,,,,,,,,true,false,true,false,false,false,0,,true,3666886156399692672,14173020+0233435,J141730.18+023342.9,214.37574940964600,0.03941142559051510,2.5618019762869000,0.0342826284468174,33.213017913939300,0.042056672,DR3,-25.92622688705330,0.050989132,-65.50150512971990,0.040767815,DR3,-33.285965,3.825091,DR3,2.251509,0.31906336545944200,119.66950225830100,1.4203439,0,1,NOT_AVAILABLE,0.0,35.012638,14,18.79369,196,196,0.019217057153582600,1,false,13.2817,0.0041,11.9210,0.0028,10.7717,0.0041,9.274,0.024,8.663,0.044,8.399,0.024,AAA,8.266,0.022,8.109,0.019,8.003,0.019,7.948,0.159,AAAB
1661,0,LP 381-94,,J14177+214,14:17:47.76,+21:25:58.8,M1.0 V,71.0,Lep13,Candidate,,-,,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,0.6860,0.0260,0.6502,0.0118,This work,0.1112427637,0.0013998515,This work,7.7036,0.0111,3700,50,This work,5.00,0.25,-0.20,Gai14b,,,,,,,,,true,false,false,false,false,false,1,nss_two_body_orbit/Orbital,true,1252845537951676800,14174784+2126018,J141747.79+212559.7,214.4490119723380,0.06466645747423170,21.433007762378600,0.06904006749391560,23.903029438327600,0.11827248,DR3,-67.45763378751730,0.082487,-172.5349774119420,0.07955023,DR3,-12.751465,0.45574403,DR3,7.859017,0.8615320324897770,1079.0631103515600,1.3431569,0,0,VARIABLE,0.3914045,3.7683592,20,1.5897448,386,386,0.029620494693517700,0,false,11.8251,0.0032,10.8113,0.0028,9.8105,0.0039,8.534,0.019,7.942,0.020,7.685,0.017,AAA,7.567,0.031,7.550,0.020,7.461,0.017,7.249,0.087,AAAA
1662,0,GJ 3840,3840,J14179-005,14:17:58.75,-00:31:33.8,M2.5 V,72.5,Rei95,Single,,-,,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,0.3625,0.0151,0.3663,0.0108,This work,0.0161512643,0.0000965852,This work,10.0200,0.0031,3400,50,This work,5.50,0.25,,n/a,,,,,,,,,false,false,false,false,false,false,0,,false,3653827329811719680,14175905-0031295,J141758.85-003132.3,214.49480938890900,0.025672903284430500,-0.5260662159581360,0.0212835855782032,46.78122572409860,0.027437842,DR3,-279.1913897834530,0.030552767,-275.13709948555200,0.026722226,DR3,16.827248,0.4074337,DR3,1.4152031,0.19753287732601200,48.956825256347700,1.4019992,0,0,NOT_AVAILABLE,0.37129194,6.0496807,18,-0.37324274,211,210,0.009031768888235090,0,false,12.9599,0.0031,11.6696,0.0028,10.5494,0.0038,9.040,0.019,8.498,0.046,8.281,0.020,AAA,8.098,0.022,7.959,0.020,7.854,0.018,7.602,0.140,AAAB
1663,0,LP 220-78,,J14189+386,14:18:58.09,+38:38:22.5,M1.0 V,71.0,Lep13,Candidate,,-,,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,0.5979,0.0274,0.5719,0.0124,This work,0.0651435480,0.0003697841,This work,8.2709,0.0043,3700,50,This work,5.50,0.25,-0.28,Jon20,,,,,,,,,true,false,false,false,false,true,0,,true,1484835722545108096,14185915+3838267,J141858.41+383823.8,214.74203266344000,0.028346549719572100,38.63959616336250,0.03740174323320390,31.55756922973670,0.047482863,DR3,-698.8041827401520,0.03519896,-236.56575578694300,0.045529637,DR3,0.8258009,0.2636614,DR2,3.597578,0.48012110590934800,343.6089172363280,1.3543159,69,68,VARIABLE,,,,,530,528,0.022274911403656000,25,true,11.7519,0.0029,10.7754,0.0028,9.7734,0.0038,8.500,0.019,7.868,0.018,7.711,0.021,AAA,7.539,0.029,7.534,0.020,7.464,0.016,7.330,0.085,AAAA
1664,0,Wolf 534,9478,J14191-073,14:19:09.81,-07:18:24.0,M3.0 V,73.0,Rei95,Single,,-,,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,0.2154,0.0111,0.2269,0.0067,This work,0.0062010116,0.0000269757,This work,11.1010,0.0030,3400,50,This work,4.50,0.25,,n/a,,,,,,,,,false,false,false,false,false,false,0,,false,3639794778302745088,14191106-0718113,J141910.22-071819.8,214.7908814924200,0.02097882516682150,-7.30667887896665,0.02193571627140050,57.04385335885030,0.026243335,DR3,-1118.0262558542400,0.02879743,-758.5788957011160,0.025333563,DR3,50.699116,0.93606496,DR3,1.5673999,0.15655827522277800,31.161710739135700,1.4202076,0,0,NOT_AVAILABLE,0.03522791,6.381752,9,1.7759976,184,183,0.010009577497839900,0,false,13.6853,0.0030,12.3200,0.0028,11.1700,0.0039,9.665,0.026,9.233,0.024,8.917,0.019,AAA,8.760,0.022,8.560,0.020,8.432,0.022,8.126,0.201,AAAB
1665,0,LP 560-1,,J14194+029,14:19:29.37,+02:54:34.1,M5.0 V,75.0,Alo15a,Single,,-,,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,0.2614,0.0128,0.2705,0.0088,This work,0.0060870959,0.0000305790,This work,11.6314,0.0032,3100,50,This work,3.50,0.25,-0.06,Ter15a,,,,,,,,,false,false,false,false,false,false,0,,false,3666992950762141312,14192958+0254365,J141929.44+025434.9,214.8723937979750,0.02685479074716570,2.9094669668997400,0.02926020324230190,47.79592755109870,0.030608363,DR3,-195.37345418791900,0.037056852,-149.8461945064860,0.037797052,DR3,-3.0893068,1.6416936,DR3,1.697145,0.20219431817531600,25.247159957885700,1.5262618,2,1,NOT_AVAILABLE,0.0010797502,16.030924,14,1.7127922,185,185,0.03651083633303640,0,false,15.1905,0.0040,13.2344,0.0029,11.9245,0.0045,9.954,0.024,9.362,0.021,9.072,0.021,AAA,8.891,0.023,8.688,0.021,8.509,0.023,8.415,0.238,AAAB
1666,0,IZ Boo,3842,J14200+390,14:20:04.66,+39:03:02.5,M2.5 V,72.5,Rei95,Candidate,,-,,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,0.5651,0.0280,0.5427,0.0126,This work,0.0685273558,0.0003519758,This work,8.4945,0.0035,3400,50,This work,5.50,0.25,,n/a,,,,,,,,,false,false,true,false,false,false,0,,true,1484942233437321728,14200468+3903014,J142004.66+390302.1,215.01940028381400,0.015088504180312200,39.050701619509200,0.017847631126642200,27.776054094419400,0.023358306,DR3,-20.008460034394900,0.0193288,68.67958968653640,0.021748748,DR3,-23.423864,2.380389,DR3,1.3775738,0.23115667700767500,98.26331329345700,1.4146678,74,73,VARIABLE,0.0,57.99318,44,28.377357,560,547,0.012508790008723700,0,false,12.5478,0.0052,11.2761,0.0030,10.1479,0.0044,8.572,0.026,7.946,0.017,7.714,0.017,AAA,7.618,0.029,7.518,0.020,7.424,0.016,7.354,0.086,AAAA
1667,0,Ross 848,545,J14201-096,14:20:06.71,-09:37:26.8,M3.5 V,73.5,Rei95,Single,,-,,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,0.2741,0.0128,0.2825,0.0086,This work,0.0085273758,0.0000628426,This work,10.8829,0.0031,3300,50,This work,4.50,0.25,-0.07,Gai14b,,,,,,,,,false,false,false,false,false,false,0,,false,6329012134635132544,14200739-0937127,J142006.93-093722.1,215.02796559698500,0.034768979996442800,-9.624114325252520,0.028482887893915200,72.32443281623740,0.041002966,DR3,-608.7650571458070,0.039551117,-838.8453755509580,0.033096973,DR3,54.025463,0.23237763,DR3,1.4952611,0.2610546052455900,85.53182983398440,1.453466,1,0,NOT_AVAILABLE,0.9731519,2.0622444,13,-4.053505,183,183,0.03602299466729160,0,false,13.1073,0.0034,11.5865,0.0028,10.3835,0.0039,8.740,0.035,8.191,0.049,7.976,0.031,AAA,7.780,0.024,7.598,0.020,7.503,0.017,7.271,0.103,AAAA
1668,0,GJ 3843,3843,J14212-011,14:21:15.31,-01:07:29.8,M3.5 V,73.5,Rei95,Single,,-,,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,0.2576,0.0125,0.2669,0.0084,This work,0.0067315837,0.0000366561,This work,11.1884,0.0031,3200,50,This work,5.50,0.25,-0.02,Gai14b,,,,,,,,,false,false,false,false,false,false,0,,false,3652796572020424448,14211512-0107199,J142115.24-010726.4,215.3137711256870,0.028166279196739200,-1.1249536299897100,0.02620931714773180,74.77675675400960,0.033560157,DR3,168.85804876309000,0.036168106,-626.4549387036530,0.02866329,DR3,7.835246,0.3130316,DR3,1.5236543,0.22378486394882200,62.08488464355470,1.4589959,1,0,NOT_AVAILABLE,0.94433004,2.078487,10,-1.8851305,187,187,0.010748305357992600,4,false,13.3651,0.0046,11.8196,0.0029,10.6085,0.0044,8.948,0.030,8.391,0.031,8.093,0.026,AAA,7.911,0.023,7.745,0.021,7.644,0.018,7.581,0.110,AAAB
1669,0,PM J14215-0755,,J14215-079,14:21:33.96,-07:55:18.0,M4.0 V,74.0,Alo15a,Single,,-,,,,,,,0,,3,,,,,,,,,,,,,,,,,,,,,0.3414,0.0147,0.3463,0.0106,This work,0.0128129674,0.0001023240,This work,10.4475,0.0033,3300,50,This work,4.50,0.25,,n/a,,,,,,,,,false,false,false,false,false,false,0,,false,3639512375613095424,14213406-0755165,J142133.99-075517.5,215.39149671270200,0.03040725365281110,-7.921673307358870,0.025845758616924300,42.114960297064400,0.034742624,DR3,-96.89537933773450,0.04126881,-87.40381887301400,0.03093858,DR3,-27.420074,0.60611737,DR3,1.6362604,0.23427774012088800,59.006717681884800,1.4537902,0,0,NOT_AVAILABLE,0.6472612,5.5258484,12,-0.6421723,181,181,0.0156177943572402,0,false,13.8535,0.0033,12.3253,0.0028,11.1209,0.0039,9.456,0.027,8.930,0.057,8.630,0.020,AAA,8.509,0.022,8.331,0.020,8.230,0.021,7.935,0.180,AAAB
